,Accident_Index,Accident_Severity,Date,Day_of_Week,Light_Conditions,Number_of_Casualties,Number_of_Vehicles,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Road_Surface_Conditions,Speed_limit,Time,Weather_Conditions,Year_y
473,200501BS70449,Slight,31/08/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,16:00,Fine no high winds,2005
474,200501BS70450,Serious,16/08/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,13:49,Fine no high winds,2005
475,200501BS70451,Slight,15/08/2005,Monday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,19:21,Fine no high winds,2005
476,200501BS70452,Slight,22/08/2005,Monday,Daylight,1,1,0.0,1.0,Wet or damp,30,10:25,Raining no high winds,2005
477,200501BS70453,Slight,19/08/2005,Friday,Daylight,2,1,0.0,5.0,Wet or damp,30,17:35,Raining no high winds,2005
478,200501BS70456,Slight,17/08/2005,Wednesday,Daylight,2,2,0.0,0.0,Dry,30,12:25,Fine no high winds,2005
479,200501BS70456,Slight,17/08/2005,Wednesday,Daylight,2,2,0.0,0.0,Dry,30,12:25,Fine no high winds,2005
480,200501BS70458,Slight,02/09/2005,Friday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,19:38,Fine no high winds,2005
481,200501BS70459,Slight,08/08/2005,Monday,Daylight,1,1,0.0,0.0,Dry,30,18:19,Fine no high winds,2005
482,200501BS70460,Slight,18/08/2005,Thursday,Daylight,1,1,0.0,0.0,Dry,30,18:49,Fine no high winds,2005
483,200501BS70461,Serious,25/08/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,7:18,Fine no high winds,2005
484,200501BS70462,Slight,02/09/2005,Friday,Daylight,1,2,0.0,0.0,Dry,30,16:30,Fine no high winds,2005
485,200501BS70463,Slight,25/08/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,15:44,Fine no high winds,2005
486,200501BS70464,Slight,13/08/2005,Saturday,Daylight,3,2,0.0,5.0,Wet or damp,30,16:57,Raining no high winds,2005
487,200501BS70465,Slight,16/08/2005,Tuesday,Daylight,1,1,0.0,0.0,Dry,30,12:20,Fine no high winds,2005
488,200501BS70466,Serious,21/08/2005,Sunday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,23:54,Fine no high winds,2005
489,200501BS70467,Slight,22/08/2005,Monday,Daylight,1,2,0.0,0.0,Wet or damp,30,17:34,Raining no high winds,2005
490,200501BS70468,Slight,06/09/2005,Tuesday,Darkness - lights lit,1,3,0.0,0.0,Dry,30,0:10,Fine no high winds,2005
491,200501BS70469,Slight,24/08/2005,Wednesday,Darkness - lighting unknown,1,2,0.0,0.0,Wet or damp,30,19:20,Raining no high winds,2005
492,200501BS70470,Slight,22/08/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,17:50,Fine no high winds,2005
493,200501BS70471,Slight,09/09/2005,Friday,Daylight,1,3,0.0,0.0,Wet or damp,30,16:20,Raining no high winds,2005
494,200501BS70471,Slight,09/09/2005,Friday,Daylight,1,3,0.0,0.0,Wet or damp,30,16:20,Raining no high winds,2005
495,200501BS70472,Slight,18/08/2005,Thursday,Daylight,2,2,0.0,0.0,Dry,30,20:05,Fine no high winds,2005
496,200501BS70473,Slight,20/08/2005,Saturday,Daylight,1,2,0.0,0.0,Dry,30,18:00,Fine no high winds,2005
497,200501BS70473,Slight,20/08/2005,Saturday,Daylight,1,2,0.0,0.0,Dry,30,18:00,Fine no high winds,2005
498,200501BS70474,Serious,03/09/2005,Saturday,Darkness - lights lit,1,1,0.0,5.0,Dry,50,22:55,Other,2005
499,200501BS70475,Slight,29/08/2005,Monday,Daylight,1,1,0.0,5.0,Dry,30,13:15,Fine no high winds,2005
500,200501BS70479,Slight,01/09/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,18:43,Fine no high winds,2005
501,200501BS70480,Slight,27/08/2005,Saturday,Daylight,1,1,0.0,5.0,Dry,30,11:40,Fine no high winds,2005
502,200501BS70481,Slight,26/08/2005,Friday,Daylight,1,2,0.0,0.0,Dry,30,15:58,Fine no high winds,2005
503,200501BS70482,Slight,30/08/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,9:03,Fine no high winds,2005
504,200501BS70483,Slight,31/08/2005,Wednesday,Darkness - lights lit,2,2,0.0,0.0,Dry,30,20:09,Fine no high winds,2005
505,200501BS70483,Slight,31/08/2005,Wednesday,Darkness - lights lit,2,2,0.0,0.0,Dry,30,20:09,Fine no high winds,2005
506,200501BS70484,Slight,27/08/2005,Saturday,Daylight,1,1,0.0,0.0,Dry,30,11:10,Fine no high winds,2005
507,200501BS70485,Slight,01/09/2005,Thursday,Daylight,1,1,0.0,1.0,Dry,30,7:40,Fine no high winds,2005
508,200501BS70486,Slight,14/09/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,9:25,Fine no high winds,2005
509,200501BS70487,Slight,05/09/2005,Monday,Daylight,1,1,0.0,0.0,Dry,30,16:00,Fine no high winds,2005
510,200501BS70488,Slight,30/08/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,8:45,Fine no high winds,2005
511,200501BS70489,Slight,07/09/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,9:09,Fine no high winds,2005
512,200501BS70489,Slight,07/09/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,9:09,Fine no high winds,2005
513,200501BS70490,Slight,02/09/2005,Friday,Daylight,1,3,0.0,0.0,Dry,30,16:20,Fine no high winds,2005
514,200501BS70491,Slight,29/08/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,12:35,Fine no high winds,2005
515,200501BS70493,Serious,13/09/2005,Tuesday,Darkness - lights lit,1,1,0.0,1.0,Dry,30,20:46,Fine no high winds,2005
516,200501BS70494,Slight,04/09/2005,Sunday,Daylight,1,3,0.0,5.0,Dry,30,15:00,Fine no high winds,2005
517,200501BS70495,Slight,03/09/2005,Saturday,Daylight,1,2,0.0,0.0,Dry,30,18:38,Fine no high winds,2005
518,200501BS70496,Slight,02/09/2005,Friday,Darkness - lights lit,1,2,0.0,5.0,Dry,30,23:55,Fine no high winds,2005
519,200501BS70497,Slight,13/09/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,15:40,Fine no high winds,2005
520,200501BS70498,Slight,20/09/2005,Tuesday,Daylight,1,1,0.0,0.0,Dry,30,16:30,Fine no high winds,2005
521,200501BS70499,Slight,19/09/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,10:35,Fine no high winds,2005
522,200501BS70500,Slight,21/09/2005,Wednesday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,4:54,Fine no high winds,2005
523,200501BS70501,Slight,14/07/2005,Thursday,Daylight,1,2,0.0,5.0,Dry,30,9:00,Fine no high winds,2005
524,200501BS70501,Slight,14/07/2005,Thursday,Daylight,1,2,0.0,5.0,Dry,30,9:00,Fine no high winds,2005
525,200501BS70502,Slight,13/09/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,9:00,Fine no high winds,2005
526,200501BS70503,Serious,12/09/2005,Monday,Daylight,1,1,0.0,0.0,Dry,30,11:15,Fine no high winds,2005
527,200501BS70504,Slight,16/09/2005,Friday,Daylight,1,2,0.0,0.0,Dry,30,8:25,Fine no high winds,2005
528,200501BS70505,Slight,14/09/2005,Wednesday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,22:10,Fine no high winds,2005
529,200501BS70506,Slight,08/09/2005,Thursday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,19:14,Fine no high winds,2005
530,200501BS70507,Slight,09/09/2005,Friday,Darkness - lights lit,1,2,0.0,5.0,Dry,30,19:14,Fine no high winds,2005
531,200501BS70508,Slight,16/09/2005,Friday,Daylight,1,2,0.0,0.0,Dry,30,9:05,Fine no high winds,2005
532,200501BS70509,Slight,13/09/2005,Tuesday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,21:49,Fine no high winds,2005
533,200501BS70510,Slight,10/09/2005,Saturday,Daylight,1,2,0.0,0.0,Wet or damp,30,18:27,Raining no high winds,2005
534,200501BS70511,Slight,13/09/2005,Tuesday,Daylight,1,1,0.0,5.0,Dry,30,16:09,Fine no high winds,2005
535,200501BS70513,Slight,01/09/2005,Thursday,Daylight,1,1,0.0,4.0,Dry,30,14:55,Fine no high winds,2005
536,200501BS70514,Slight,15/09/2005,Thursday,Daylight,1,2,0.0,0.0,Wet or damp,30,7:40,Raining no high winds,2005
537,200501BS70515,Slight,17/09/2005,Saturday,Daylight,1,2,0.0,0.0,Dry,30,13:19,Fine no high winds,2005
538,200501BS70516,Slight,17/09/2005,Saturday,Daylight,1,1,0.0,0.0,Dry,30,10:05,Fine no high winds,2005
539,200501BS70517,Serious,25/09/2005,Sunday,Daylight,1,2,0.0,5.0,Wet or damp,30,11:42,Fine no high winds,2005
540,200501BS70518,Slight,15/09/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,16:40,Fine no high winds,2005
541,200501BS70519,Slight,13/09/2005,Tuesday,Darkness - lights lit,1,2,0.0,5.0,Dry,30,4:52,Fine no high winds,2005
542,200501BS70521,Slight,20/09/2005,Tuesday,Darkness - lights lit,1,1,0.0,5.0,Dry,30,19:01,Fine no high winds,2005
543,200501BS70523,Serious,22/09/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,13:15,Fine no high winds,2005
544,200501BS70524,Serious,07/09/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,7:35,Fine no high winds,2005
545,200501BS70525,Slight,15/09/2005,Thursday,Daylight,1,1,0.0,0.0,Dry,30,13:50,Fine no high winds,2005
546,200501BS70526,Slight,15/09/2005,Thursday,Daylight,1,2,0.0,1.0,Dry,30,18:29,Fine no high winds,2005
547,200501BS70527,Slight,09/08/2005,Tuesday,Daylight,1,2,0.0,5.0,Dry,30,14:10,Fine no high winds,2005
548,200501BS70528,Slight,12/09/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,16:21,Fine no high winds,2005
549,200501BS70529,Serious,23/09/2005,Friday,Daylight,1,1,0.0,0.0,Dry,30,7:55,Fine no high winds,2005
550,200501BS70530,Slight,06/09/2005,Tuesday,Darkness - lights lit,1,1,0.0,1.0,Dry,30,23:30,Fine no high winds,2005
551,200501BS70531,Slight,28/09/2005,Wednesday,Darkness - lights lit,1,2,0.0,1.0,Wet or damp,30,20:45,Raining no high winds,2005
552,200501BS70531,Slight,28/09/2005,Wednesday,Darkness - lights lit,1,2,0.0,1.0,Wet or damp,30,20:45,Raining no high winds,2005
553,200501BS70532,Slight,21/10/2005,Friday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,22:55,Fine no high winds,2005
554,200501BS70533,Slight,30/09/2005,Friday,Daylight,1,1,0.0,0.0,Wet or damp,30,16:02,Fine no high winds,2005
555,200501BS70534,Slight,26/09/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,12:15,Fine no high winds,2005
556,200501BS70535,Slight,24/09/2005,Saturday,Daylight,2,2,0.0,5.0,Dry,40,10:26,Fine no high winds,2005
557,200501BS70536,Slight,24/09/2005,Saturday,Daylight,1,3,0.0,0.0,Dry,30,12:34,Fine no high winds,2005
558,200501BS70537,Slight,29/09/2005,Thursday,Daylight,1,1,0.0,0.0,Dry,30,16:00,Fine no high winds,2005
559,200501BS70538,Slight,19/09/2005,Monday,Daylight,1,1,0.0,4.0,Dry,30,15:05,Fine no high winds,2005
560,200501BS70539,Slight,30/09/2005,Friday,Daylight,1,2,0.0,0.0,Dry,30,16:12,Fine no high winds,2005
561,200501BS70540,Serious,27/09/2005,Tuesday,Daylight,2,2,0.0,5.0,Dry,30,10:20,Fine no high winds,2005
562,200501BS70541,Slight,30/09/2005,Friday,Daylight,2,1,0.0,4.0,Dry,30,17:55,Fine no high winds,2005
563,200501BS70542,Slight,28/08/2005,Sunday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,19:00,Fine no high winds,2005
564,200501BS70543,Slight,03/10/2005,Monday,Darkness - lights lit,1,2,0.0,1.0,Dry,30,18:33,Fine no high winds,2005
565,200501BS70545,Slight,04/10/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,17:05,Fine no high winds,2005
566,200501BS70545,Slight,04/10/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,17:05,Fine no high winds,2005
567,200501BS70546,Serious,24/09/2005,Saturday,Daylight,1,1,0.0,1.0,Dry,30,15:38,Fine no high winds,2005
568,200501BS70547,Slight,23/09/2005,Friday,Daylight,1,1,0.0,0.0,Dry,30,8:30,Fine no high winds,2005
569,200501BS70548,Slight,09/10/2005,Sunday,Daylight,1,2,0.0,0.0,Dry,30,14:30,Fine no high winds,2005
570,200501BS70548,Slight,09/10/2005,Sunday,Daylight,1,2,0.0,0.0,Dry,30,14:30,Fine no high winds,2005
571,200501BS70549,Slight,04/10/2005,Tuesday,Darkness - lights lit,1,2,0.0,4.0,Dry,30,21:10,Fine no high winds,2005
572,200501BS70550,Slight,08/10/2005,Saturday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,22:50,Fine no high winds,2005
573,200501BS70551,Slight,16/09/2005,Friday,Darkness - lights lit,1,2,0.0,1.0,Dry,30,20:20,Fine no high winds,2005
574,200501BS70552,Slight,09/10/2005,Sunday,Darkness - lighting unknown,1,2,0.0,5.0,Dry,30,20:10,Fine no high winds,2005
575,200501BS70554,Slight,12/10/2005,Wednesday,Daylight,1,3,0.0,0.0,Dry,30,12:10,Fine no high winds,2005
576,200501BS70554,Slight,12/10/2005,Wednesday,Daylight,1,3,0.0,0.0,Dry,30,12:10,Fine no high winds,2005
577,200501BS70555,Slight,15/10/2005,Saturday,Daylight,1,1,0.0,1.0,Dry,30,14:55,Fine no high winds,2005
578,200501BS70556,Slight,10/10/2005,Monday,Daylight,1,1,0.0,0.0,Dry,30,16:25,Fine no high winds,2005
579,200501BS70557,Serious,06/10/2005,Thursday,Daylight,1,1,0.0,0.0,Dry,20,8:27,Fine no high winds,2005
580,200501BS70558,Slight,29/09/2005,Thursday,Daylight,1,2,0.0,1.0,Dry,30,17:33,Fine no high winds,2005
581,200501BS70559,Slight,30/09/2005,Friday,Daylight,1,1,0.0,0.0,Wet or damp,30,15:52,Raining no high winds,2005
582,200501BS70561,Slight,06/10/2005,Thursday,Daylight,1,1,0.0,1.0,Dry,30,8:22,Fine no high winds,2005
583,200501BS70562,Serious,07/09/2005,Wednesday,Darkness - lights lit,1,1,0.0,4.0,Dry,30,23:00,Fine no high winds,2005
584,200501BS70564,Slight,06/10/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,7:20,Fine no high winds,2005
585,200501BS70565,Slight,08/10/2005,Saturday,Daylight,1,4,2.0,0.0,Dry,30,13:35,Fine no high winds,2005
586,200501BS70565,Slight,08/10/2005,Saturday,Daylight,1,4,2.0,0.0,Dry,30,13:35,Fine no high winds,2005
587,200501BS70565,Slight,08/10/2005,Saturday,Daylight,1,4,2.0,0.0,Dry,30,13:35,Fine no high winds,2005
588,200501BS70566,Slight,11/10/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,8:55,Fine no high winds,2005
589,200501BS70566,Slight,11/10/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,8:55,Fine no high winds,2005
590,200501BS70567,Slight,10/10/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,11:55,Fine no high winds,2005
591,200501BS70568,Slight,10/10/2005,Monday,Daylight,1,1,0.0,1.0,Dry,30,13:40,Fine no high winds,2005
592,200501BS70569,Serious,19/10/2005,Wednesday,Daylight,1,2,0.0,0.0,Wet or damp,30,7:50,Raining no high winds,2005
593,200501BS70570,Serious,11/10/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,8:28,Fine no high winds,2005
594,200501BS70571,Serious,12/10/2005,Wednesday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,18:15,Raining no high winds,2005
595,200501BS70572,Slight,05/10/2005,Wednesday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,20:20,Fine no high winds,2005
596,200501BS70574,Slight,15/10/2005,Saturday,Daylight,1,2,0.0,0.0,Dry,30,9:30,Fine no high winds,2005
597,200501BS70575,Slight,15/10/2005,Saturday,Daylight,2,2,0.0,0.0,Dry,30,14:04,Fine no high winds,2005
598,200501BS70576,Slight,14/10/2005,Friday,Daylight,1,3,0.0,0.0,Dry,30,13:10,Fine no high winds,2005
599,200501BS70577,Slight,03/10/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,8:27,Fine no high winds,2005
600,200501BS70578,Slight,08/10/2005,Saturday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,21:20,Fine no high winds,2005
601,200501BS70579,Slight,10/10/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,8:30,Fine no high winds,2005
602,200501BS70580,Slight,11/10/2005,Tuesday,Daylight,1,2,0.0,5.0,Dry,30,8:40,Fine no high winds,2005
603,200501BS70581,Slight,17/10/2005,Monday,Darkness - lights lit,1,4,0.0,0.0,Dry,30,19:35,Fine no high winds,2005
604,200501BS70581,Slight,17/10/2005,Monday,Darkness - lights lit,1,4,0.0,0.0,Dry,30,19:35,Fine no high winds,2005
605,200501BS70582,Slight,10/10/2005,Monday,Daylight,2,2,0.0,0.0,Dry,30,10:30,Fine no high winds,2005
606,200501BS70583,Slight,19/10/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,9:00,Fine no high winds,2005
607,200501BS70585,Slight,16/10/2005,Sunday,Darkness - lights lit,1,2,0.0,5.0,Dry,30,1:30,Fine no high winds,2005
608,200501BS70587,Slight,17/10/2005,Monday,Daylight,1,1,0.0,0.0,Dry,30,9:59,Fine no high winds,2005
609,200501BS70588,Slight,20/10/2005,Thursday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,1:45,Fine + high winds,2005
610,200501BS70589,Slight,19/10/2005,Wednesday,Daylight,1,1,0.0,0.0,Dry,30,11:40,Fine no high winds,2005
611,200501BS70590,Slight,20/10/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,7:44,Fine no high winds,2005
612,200501BS70591,Slight,17/10/2005,Monday,Daylight,1,2,0.0,0.0,Dry,30,16:35,Fine no high winds,2005
613,200501BS70592,Slight,19/10/2005,Wednesday,Darkness - lights lit,1,2,0.0,4.0,Wet or damp,30,0:25,Raining no high winds,2005
614,200501BS70593,Slight,16/10/2005,Sunday,Daylight,1,2,0.0,1.0,Dry,30,15:25,Fine no high winds,2005
615,200501BS70594,Slight,10/10/2005,Monday,Daylight,1,3,0.0,0.0,Dry,30,8:03,Fine no high winds,2005
616,200501BS70595,Slight,19/10/2005,Wednesday,Darkness - lights lit,1,1,0.0,1.0,Wet or damp,30,20:15,Raining no high winds,2005
617,200501BS70596,Slight,14/10/2005,Friday,Darkness - lights lit,4,2,0.0,0.0,Dry,30,18:45,Fine no high winds,2005
618,200501BS70597,Slight,15/10/2005,Saturday,Daylight,1,1,0.0,0.0,Dry,30,12:10,Fine no high winds,2005
619,200501BS70598,Serious,19/10/2005,Wednesday,Darkness - lights lit,1,2,0.0,4.0,Wet or damp,30,18:26,Raining no high winds,2005
620,200501BS70599,Serious,20/10/2005,Thursday,Daylight,1,1,0.0,4.0,Dry,30,14:10,Fine no high winds,2005
621,200501BS70600,Slight,23/10/2005,Sunday,Daylight,1,2,0.0,1.0,Dry,30,13:15,Fine no high winds,2005
622,200501BS70601,Slight,22/10/2005,Saturday,Daylight,1,2,0.0,0.0,Dry,30,15:53,Fine no high winds,2005
623,200501BS70601,Slight,22/10/2005,Saturday,Daylight,1,2,0.0,0.0,Dry,30,15:53,Fine no high winds,2005
624,200501BS70602,Slight,21/10/2005,Friday,Daylight,1,1,0.0,0.0,Wet or damp,30,12:17,Fine no high winds,2005
625,200501BS70603,Slight,03/11/2005,Thursday,Daylight,1,2,0.0,0.0,Dry,30,8:35,Fine no high winds,2005
626,200501BS70604,Slight,21/10/2005,Friday,Daylight,1,2,0.0,5.0,Dry,30,11:39,Fine no high winds,2005
627,200501BS70605,Serious,25/10/2005,Tuesday,Darkness - lights lit,1,1,0.0,5.0,Dry,30,20:45,Fine no high winds,2005
628,200501BS70606,Slight,06/10/2005,Thursday,Daylight,2,2,0.0,0.0,Dry,30,16:51,Fine no high winds,2005
629,200501BS70607,Slight,27/10/2005,Thursday,Daylight,2,2,0.0,0.0,Dry,30,17:00,Fine no high winds,2005
630,200501BS70608,Slight,26/10/2005,Wednesday,Daylight,1,1,0.0,0.0,Dry,30,14:18,Fine no high winds,2005
631,200501BS70609,Slight,19/10/2005,Wednesday,Darkness - lights lit,1,2,0.0,4.0,Wet or damp,30,22:40,Raining no high winds,2005
632,200501BS70610,Serious,23/10/2005,Sunday,Darkness - lights lit,3,4,0.0,5.0,Dry,30,18:20,Fine no high winds,2005
633,200501BS70610,Serious,23/10/2005,Sunday,Darkness - lights lit,3,4,0.0,5.0,Dry,30,18:20,Fine no high winds,2005
634,200501BS70610,Serious,23/10/2005,Sunday,Darkness - lights lit,3,4,0.0,5.0,Dry,30,18:20,Fine no high winds,2005
635,200501BS70611,Slight,08/10/2005,Saturday,Daylight,1,2,0.0,5.0,Dry,30,10:40,Fine no high winds,2005
636,200501BS70613,Slight,04/11/2005,Friday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,17:10,Fine no high winds,2005
637,200501BS70614,Slight,27/10/2005,Thursday,Daylight,1,1,0.0,0.0,Dry,30,12:30,Fine no high winds,2005
638,200501BS70615,Slight,28/10/2005,Friday,Daylight,1,1,0.0,0.0,Dry,30,14:14,Fine no high winds,2005
639,200501BS70616,Serious,21/10/2005,Friday,Daylight,1,1,0.0,0.0,Wet or damp,30,11:10,Raining no high winds,2005
640,200501BS70617,Slight,01/11/2005,Tuesday,Daylight,1,2,0.0,1.0,Dry,30,8:40,Fine no high winds,2005
641,200501BS70618,Slight,17/10/2005,Monday,Daylight,4,2,0.0,0.0,Dry,30,16:00,Fine no high winds,2005
642,200501BS70619,Slight,30/10/2005,Sunday,Daylight,2,2,0.0,0.0,Dry,30,15:29,Fine no high winds,2005
643,200501BS70620,Slight,02/11/2005,Wednesday,Daylight,2,1,0.0,5.0,Wet or damp,30,15:50,Raining no high winds,2005
644,200501BS70621,Slight,07/11/2005,Monday,Daylight,1,3,0.0,0.0,Dry,30,9:40,Fine no high winds,2005
645,200501BS70622,Slight,27/10/2005,Thursday,Darkness - lights lit,1,1,0.0,0.0,Dry,30,17:48,Fine no high winds,2005
646,200501BS70623,Slight,15/10/2005,Saturday,Daylight,1,1,0.0,0.0,Dry,30,14:54,Fine no high winds,2005
647,200501BS70624,Slight,15/10/2005,Saturday,Daylight,1,2,0.0,0.0,Dry,30,11:50,Fine no high winds,2005
648,200501BS70625,Slight,01/11/2005,Tuesday,Darkness - lights lit,1,2,0.0,5.0,Wet or damp,30,19:03,Raining no high winds,2005
649,200501BS70626,Slight,28/10/2005,Friday,Daylight,1,1,0.0,0.0,Dry,30,13:55,Fine no high winds,2005
650,200501BS70627,Slight,20/10/2005,Thursday,Daylight,1,1,0.0,0.0,Dry,30,13:20,Fine no high winds,2005
651,200501BS70628,Slight,02/11/2005,Wednesday,Darkness - lights lit,1,2,0.0,5.0,Wet or damp,30,20:45,Raining no high winds,2005
652,200501BS70629,Serious,26/10/2005,Wednesday,Daylight,1,1,0.0,0.0,Dry,30,9:56,Fine no high winds,2005
653,200501BS70630,Serious,28/10/2005,Friday,Daylight,2,2,0.0,0.0,Wet or damp,30,8:00,Raining no high winds,2005
654,200501BS70631,Slight,27/10/2005,Thursday,Daylight,1,1,0.0,5.0,Dry,30,16:12,Fine no high winds,2005
655,200501BS70632,Serious,21/10/2005,Friday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,18:23,Fine no high winds,2005
656,200501BS70633,Slight,06/11/2005,Sunday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,18:40,Raining no high winds,2005
657,200501BS70634,Slight,04/11/2005,Friday,Daylight,1,2,0.0,0.0,Dry,30,10:07,Fine no high winds,2005
658,200501BS70635,Slight,26/10/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,10:50,Fine no high winds,2005
659,200501BS70637,Slight,02/11/2005,Wednesday,Daylight,1,2,0.0,1.0,Dry,30,8:18,Fine no high winds,2005
660,200501BS70638,Serious,02/11/2005,Wednesday,Daylight,1,3,0.0,0.0,Wet or damp,30,11:00,Raining no high winds,2005
661,200501BS70638,Serious,02/11/2005,Wednesday,Daylight,1,3,0.0,0.0,Wet or damp,30,11:00,Raining no high winds,2005
662,200501BS70640,Serious,06/11/2005,Sunday,Darkness - lights lit,1,2,0.0,1.0,Dry,30,0:50,Fine no high winds,2005
663,200501BS70641,Slight,07/11/2005,Monday,Daylight,1,1,0.0,5.0,Dry,30,9:20,Fine no high winds,2005
664,200501BS70642,Slight,07/11/2005,Monday,Darkness - lights lit,1,1,0.0,1.0,Dry,30,17:50,Fine no high winds,2005
665,200501BS70643,Slight,02/11/2005,Wednesday,Daylight,1,2,0.0,0.0,Wet or damp,30,7:10,Raining no high winds,2005
666,200501BS70643,Slight,02/11/2005,Wednesday,Daylight,1,2,0.0,0.0,Wet or damp,30,7:10,Raining no high winds,2005
667,200501BS70644,Slight,12/11/2005,Saturday,Daylight,1,2,0.0,0.0,Dry,30,16:05,Fine no high winds,2005
668,200501BS70645,Slight,02/11/2005,Wednesday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,1:00,Raining no high winds,2005
669,200501BS70646,Slight,02/11/2005,Wednesday,Darkness - lights lit,1,1,0.0,5.0,Dry,30,17:00,Fine no high winds,2005
670,200501BS70647,Serious,04/11/2005,Friday,Daylight,1,2,0.0,0.0,Dry,30,13:16,Fine no high winds,2005
671,200501BS70648,Serious,09/11/2005,Wednesday,Daylight,1,1,0.0,1.0,Dry,30,13:08,Fine no high winds,2005
672,200501BS70649,Slight,09/11/2005,Wednesday,Daylight,1,2,0.0,0.0,Dry,30,15:24,Fine no high winds,2005
673,200501BS70650,Slight,07/11/2005,Monday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,16:35,Fine no high winds,2005
674,200501BS70651,Slight,07/11/2005,Monday,Darkness - lights lit,1,2,0.0,5.0,Dry,30,18:10,Fine no high winds,2005
675,200501BS70652,Slight,03/11/2005,Thursday,Daylight,1,2,0.0,0.0,Wet or damp,30,8:22,Fine + high winds,2005
676,200501BS70652,Slight,03/11/2005,Thursday,Daylight,1,2,0.0,0.0,Wet or damp,30,8:22,Fine + high winds,2005
677,200501BS70653,Slight,04/11/2005,Friday,Darkness - lights lit,2,2,0.0,0.0,Dry,30,22:40,Fine no high winds,2005
678,200501BS70654,Slight,12/11/2005,Saturday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,19:24,Fine no high winds,2005
679,200501BS70655,Slight,12/10/2005,Wednesday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,21:35,Raining no high winds,2005
680,200501BS70656,Slight,08/11/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,9:53,Fine no high winds,2005
681,200501BS70656,Slight,08/11/2005,Tuesday,Daylight,1,2,0.0,0.0,Dry,30,9:53,Fine no high winds,2005
682,200501BS70657,Slight,02/11/2005,Wednesday,Darkness - lights lit,1,2,0.0,0.0,Wet or damp,30,19:44,Raining no high winds,2005
683,200501BS70658,Slight,07/11/2005,Monday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,16:14,Fine no high winds,2005
684,200501BS70658,Slight,07/11/2005,Monday,Darkness - lights lit,1,2,0.0,0.0,Dry,30,16:14,Fine no high winds,2005
685,200501BS70659,Slight,10/11/2005,Thursday,Daylight,1,2,0.0,5.0,Dry,30,10:00,Fine no high winds,2005
